Date, Open, High, Low, Close
11/02/23, 150.96, 150.96, 149.84, 150.47
11/01/23, 151.66, 151.68, 150.68, 150.96
10/31/23, 149.10, 151.72, 149.03, 151.67
10/30/23, 149.68, 149.85, 148.81, 149.10
10/27/23, 150.38, 150.42, 149.46, 149.66
10/26/23, 150.20, 150.78, 149.90, 150.40
10/25/23, 149.91, 150.32, 149.79, 150.23
10/24/23, 149.65, 149.93, 149.33, 149.91
10/23/23, 149.78, 150.00, 149.56, 149.71
10/20/23, 149.78, 150.04, 149.65, 149.84
10/19/23, 149.93, 149.97, 149.66, 149.80
10/18/23, 149.82, 149.99, 149.51, 149.93
10/17/23, 149.51, 149.88, 148.79, 149.81
10/16/23, 149.48, 149.76, 149.33, 149.51
10/13/23, 149.81, 149.83, 149.46, 149.57
10/12/23, 149.15, 149.88, 148.96, 149.81
10/11/23, 148.72, 149.37, 148.42, 149.17
10/10/23, 148.51, 149.13, 148.16, 148.71
10/09/23, 149.06, 149.24, 148.44, 148.51
10/06/23, 148.49, 149.52, 148.36, 149.30
10/05/23, 149.12, 149.12, 148.26, 148.51
10/04/23, 149.04, 149.32, 148.74, 149.13
10/03/23, 149.86, 150.19, 147.41, 149.03
10/02/23, 149.37, 149.88, 149.37, 149.86
09/29/23, 149.31, 149.51, 148.53, 149.37
09/28/23, 149.63, 149.63, 149.15, 149.30
09/27/23, 149.03, 149.72, 148.86, 149.64
09/26/23, 148.89, 149.22, 148.71, 149.07
09/25/23, 148.28, 148.97, 148.25, 148.88
09/22/23, 147.58, 148.46, 147.51, 148.31
09/21/23, 148.35, 148.46, 147.32, 147.58
09/20/23, 147.86, 148.37, 147.47, 148.34
09/19/23, 147.61, 147.97, 147.51, 147.86
09/18/23, 147.78, 147.88, 147.56, 147.61
09/15/23, 147.48, 147.97, 147.34, 147.85
09/14/23, 147.47, 147.56, 147.01, 147.48
09/13/23, 147.08, 147.74, 147.02, 147.47
09/12/23, 146.59, 147.26, 146.44, 147.08
09/11/23, 147.78, 147.82, 145.91, 146.59
09/08/23, 147.30, 147.87, 146.60, 147.82
09/07/23, 147.69, 147.88, 147.04, 147.30
09/06/23, 147.75, 147.82, 147.02, 147.66
09/05/23, 146.44, 147.79, 146.40, 147.72
09/04/23, 146.20, 146.53, 146.01, 146.48
09/01/23, 145.54, 146.31, 144.45, 146.25
08/31/23, 146.25, 146.28, 145.36, 145.54
08/30/23, 145.88, 146.59, 145.56, 146.25
08/29/23, 146.54, 147.36, 145.67, 145.87
08/28/23, 146.44, 146.75, 146.28, 146.53
08/25/23, 145.84, 146.63, 145.73, 146.45
08/24/23, 144.84, 145.95, 144.59, 145.84
08/23/23, 145.89, 145.90, 144.55, 144.85
08/22/23, 146.20, 146.39, 145.50, 145.88
08/21/23, 145.28, 146.40, 145.15, 146.22
08/18/23, 145.84, 145.88, 144.94, 145.41
08/17/23, 146.35, 146.56, 145.62, 145.84
08/16/23, 145.60, 146.41, 145.31, 146.35
08/15/23, 145.56, 145.88, 145.10, 145.58
08/14/23, 144.73, 145.58, 144.63, 145.56
08/11/23, 144.75, 145.06, 144.42, 144.92
08/10/23, 143.72, 144.82, 143.29, 144.75
08/09/23, 143.39, 143.78, 143.00, 143.73
08/08/23, 142.49, 143.49, 142.41, 143.38
08/07/23, 141.75, 142.60, 141.54, 142.48
08/04/23, 142.53, 142.88, 141.56, 141.73
08/03/23, 143.33, 143.89, 142.07, 142.54
08/02/23, 143.34, 143.47, 142.26, 143.33
08/01/23, 142.27, 143.54, 142.22, 143.34
07/31/23, 141.15, 142.68, 140.70, 142.27
07/28/23, 139.49, 141.18, 138.08, 141.15
07/27/23, 140.23, 141.31, 138.77, 139.49
